id;form_id;title;explanation;oninvoice;answers;mutations;validators;default;rowtype;fieldtype
3;2;"Wil je waterskieën?";;Waterskieen;"[""ja"",""nee""]";"[{""mutation"":""0"",""type"":""price"",""resource"":"""",""vat"":""21""},{""mutation"":""0"",""type"":""price"",""resource"":"""",""vat"":""21""}]";"[{""validate"":""60"",""0"":{""validator"":""in"",""value"":""0""}},{""validate"":""61"",""0"":{""validator"":""in"",""value"":""0""}}]";0;question;select
4;2;"Wil je waterskieën? ( € 18,50 )";;Waterskieen;"[""Ja"",""Nee""]";"[{""mutation"":""18.5"",""type"":""price"",""resource"":"""",""vat"":""21""},{""mutation"":""0"",""type"":""price"",""resource"":"""",""vat"":""21""}]";"[{""validate"":""60"",""0"":{""validator"":""in"",""value"":""1""}},{""validate"":""60"",""0"":{""validator"":""in"",""value"":""2""}},{""validate"":""61"",""0"":{""validator"":""in"",""value"":""1""}},{""validate"":""61"",""0"":{""validator"":""in"",""value"":""2""}}]";0;question;radio
5;2;"Wil je een keer flyboarden?";;Flyboarden;"[""ja"",""nee""]";"[{""mutation"":""30"",""type"":""price"",""resource"":"""",""vat"":""21""},{""mutation"":""0"",""type"":""price"",""resource"":"""",""vat"":""21""}]";"[{""validate"":""age"",""0"":{""validator"":""greater"",""value"":""14""}},{""validate"":""apptype"",""0"":{""validator"":""in"",""value"":""66603,66797""}}]";0;question;radio
11;2;"Korting gelijktijdige boeking";"Wanneer een vriendje/vriendinnetje of broertje/zusje binnen dezelfde week wordt ingeschreven heeft u recht op € 10,- korting.";"Gelijktijdige reservering";"[""Ja"",""Nee""]";"[{""mutation"":""0"",""type"":""price"",""resource"":"""",""vat"":""21""},{""mutation"":""0"",""type"":""price"",""resource"":"""",""vat"":""21""}]";"[{""validate"":""apptype"",""0"":{""validator"":""in"",""value"":""66603,66604,66606,66607,66797""}}]";1;question;radio
13;2;"Met wie doe je de reservering?";"Geeft hier aan wie de andere reservering gemaakt heeft zodat we je korting kunnen verwerken.";"Gelijktijdige boeking";"[""maakt niet uit""]";"[{""mutation"":""-10"",""type"":""price"",""resource"":"""",""vat"":""6""}]";"[{""validate"":""11"",""0"":{""validator"":""in"",""value"":""0""}}]";0;question;input
14;1;"Welk kamp wil je doen?";;"Welk kamp: ";"[""Optimist"",""Laser Bug"",""Extreme (+ u20ac 50,-)"",""RS Tera"",""Open Bic"",""Tweemans Zwaardboot"",""Jeugdcatamaran"",""Laser"",""Windsurfen"",""Watersport"",""Kielboot""]";"[{""mutation"":"""",""type"":""price"",""resource"":""Optimist"",""vat"":""6""},{""mutation"":"""",""type"":""price"",""resource"":""Laser Bug"",""vat"":""6""},{""mutation"":""50"",""type"":""price"",""resource"":""Extreme"",""vat"":""21""},{""mutation"":"""",""type"":""price"",""resource"":""RS Tera"",""vat"":""6""},{""mutation"":"""",""type"":""price"",""resource"":""Open Bic"",""vat"":""21""},{""mutation"":"""",""type"":""price"",""resource"":""Tweemans Zwaardboot"",""vat"":""21""},{""mutation"":"""",""type"":""price"",""resource"":""Jeugdcatamaran"",""vat"":""21""},{""mutation"":"""",""type"":""price"",""resource"":""Laser"",""vat"":""21""},{""mutation"":"""",""type"":""price"",""resource"":""Windsurfen"",""vat"":""21""},{""mutation"":"""",""type"":""price"",""resource"":""Watersport"",""vat"":""21""},{""mutation"":"""",""type"":""price"",""resource"":""Kielboot"",""vat"":""21""}]";"[{""validate"":""age"",""0"":{""validator"":""smaller"",""value"":""0""}}]";0;question;select
43;1;"Welk kamp wil je doen?";;"Welk kamp: ";"[""Optimist""]";"[{""mutation"":"""",""type"":""price"",""resource"":""Optimist"",""vat"":""21""}]";"[{""validate"":""age"",""0"":{""validator"":""smaller"",""value"":""7""}}]";0;question;select
44;1;"Welk kamp wil je doen?";;"Welk kamp:";"[""Optimist"",""Watersport""]";"[{""mutation"":"""",""type"":""price"",""resource"":""Optimist"",""vat"":""21""},{""mutation"":"""",""type"":""price"",""resource"":""Watersport"",""vat"":""21""}]";"[{""validate"":""age"",""0"":{""validator"":""equal"",""value"":""8""}}]";0;question;select
45;1;"Welk kamp wil je doen?";;"Welk kamp";"[""Optimist"",""Laser Bug"",""Watersport""]";"[{""mutation"":"""",""type"":""price"",""resource"":""Optimist"",""vat"":""21""},{""mutation"":"""",""type"":""price"",""resource"":""Laser Bug"",""vat"":""21""},{""mutation"":"""",""type"":""price"",""resource"":""Watersport"",""vat"":""21""}]";"[{""validate"":""age"",""0"":{""validator"":""equal"",""value"":""9""}}]";0;question;select
46;1;"Welk kamp wil je doen?";;"Welk kamp";"[""Optimist"",""Laser Bug"",""RS Tera"",""Jeugdcatamaran"",""Watersport""]";"[{""mutation"":"""",""type"":""price"",""resource"":""Optimist"",""vat"":""21""},{""mutation"":"""",""type"":""price"",""resource"":""Laser Bug"",""vat"":""21""},{""mutation"":"""",""type"":""price"",""resource"":""RS Tera"",""vat"":""21""},{""mutation"":"""",""type"":""price"",""resource"":""Jeugdcatamaran"",""vat"":""21""},{""mutation"":"""",""type"":""price"",""resource"":""Watersport"",""vat"":""21""}]";"[{""validate"":""age"",""0"":{""validator"":""equal"",""value"":""10""}}]";0;question;select
